Species,Skew,GMM_upper_prop,Prop_ge_70
Arabidopsis_thaliana,-0.4012934711019094,0.6177785648451657,0.4852700802067891
Cauris6684,-0.0746258136752846,0.5056956382636545,0.39384962618140784
CaurisB8441,-0.4909014767623295,0.6606483451799355,0.5278832700379772
Drosophila_melanogaster,-0.34890304676383505,0.5928061263977248,0.4773783321105405
HS,-0.37812772582925847,0.6082069577940168,0.48652061714160216
Homo_sapiens_2k,0.07212737517966135,0.3819387864830567,0.19785276073619631
Mus_musculus,-0.49117924355780157,0.6576537882268539,0.5420474381353322
Pan_troglodytes,-0.25330418004227134,0.5402334072724483,0.42583268783888456
Plasmodium_falciparum,0.11325487290022876,0.4203708200224371,0.29740134744947067
Rattus_norvegicus,-0.4343765706171022,0.6022191393685029,0.507209805335256
Saccharomyces_cerevisiae,-0.3704902465914823,0.6179228417799132,0.48367310120873175
Toxoplasma_gondii,0.26989167178684714,0.35475817550947675,0.21885354539430085
Trypanosoma_brucei,-0.08973759361009766,0.47671920475681323,0.34364106600697175
afdb_Homo_sapiens_2k,-0.26075522204853063,0.6218212575677259,0.4608695652173913
